likes	quote
7	“Everything that the human race has done and thought is concerned with the satisfaction of deeply felt needs and the assuagement of pain. One has to keep this constantly in mind if one wishes to understand spiritual movements and their development. Feeling and longing are the motive force behind all human endeavor and human creation, in however exalted a guise the latter may present themselves to us.”
7	“Tanda kecerdasan sejati bukanlah pengetahuan tapi imajinasi.”
7	“Man usually avoids attributing cleverness to somebody else- unless it is an enemy”
7	“We are here for the sake of others”
7	“بوسع المرء أن يقضي على نهم حيوان مفترس في صحة جيدة إن هو أجبره بالسياط أن يأكل بصورة مستمرة سواء كان جائعا أم لا”
7	“Es gibt zwei Arten sein Leben zu leben: entweder so, als wäre nichts ein Wunder, oder so, als wäre alles eines. Ich glaube an Letzteres.”
6	“A new idea comes suddenly and in a rather intuitive way, but intuition is nothing but the outcome of earlier intellectual experience.”
6	“There is nothing to fear but fear itself.”
6	“Light travels faster than sound, thats why some people appear bright until you hear them speak.”
6	“Human knowledge and skills alone cannot lead humanity to a happy and dignified life.”
6	“The woman who follows the crowd will usually go no further than the crowd. The woman who walks alone is likely to find herself in places no one has ever been before.”―”
6	“How many people are trapped in their everyday habits: part numb, part frightened, part indifferent? To have a better life we must keep choosing how we're living.”
6	“There is far too great a disproportion between what one is and what others think one is, or at least what they say they think one is.”
6	“Aku Berpikir terus menerus berbulan bulan dan bertahun tahun, sembilan puluh sembilan kali dan kesimpulannya salah. Untuk yang keseratus aku benar.”
6	“The monotony and solitude of a quiet life stimulates the creative mind.”
6	“Hanya ada dua cara menjalani kehidupan kita.Pertama adalah seolah tidak ada keajaiban.Kedua adalah seolah segala sesuatu adalah keajaiban.”
6	“We still do not know one thousandth of one percent of what nature has revealed to us”
6	“The more a man is imbued with the ordered regularity of all events the firmer becomes his conviction that there is no room left by the side of this ordered regularity for causes of a different nature. For him neither the rule of human nor the rule of divine will exist as an independent cause of natural events. To be sure, the doctrine of a personal God interfering with the natural events could never be refuted, in the real sense, by science, for this doctrine can always take refuge in those domains in which scientific knowledge has not yet been able to set foot. But I am persuaded that such behavior on the part of the representatives of religion would not only be unworthy but also fatal. For a doctrine which is able to maintain itself not in clear light but only in the dark, will of necessity lose its effect on mankind, with incalculable harm to human progress.- Science and Religion (1941)”
6	“Memory is deceptive because it is colored by today's events”
6	“If something is in me which can be called religious, then it is the unbounded admiration for the structure of the world so far as our science can reveal it.”
6	“إن موسى - عليه السلام - كان قائداً أفضل للبشرية من ميكافيلي ذلك أنّ هذا الأخير، على حذاقته، لم يقدّم للبشرية إلا الارتياب في نوايا الآخر .”
6	“The world we have created is a product of our thinking.It cannot be changed without changing our thinking.”
6	“satu-satunya yang pasti adalah ketidakpastian ”
6	“Did you know: The only source of knowledge is experience”
6	“No hay comentarios tontos, sino tontos que comentan.”
6	“Science is a wonderful thing if one does not have to earn one's living at it.”
6	“إن فكرة دولة إسرائيل لا تتوافق مع رغبات قلبي. إني لا أفهم لماذا نجن بحاجة إلى دولة كهذه . إن الدولة القومية هي فكرة رديئة وقد عارضتها على الدوام. إننا نقلد أوروبا، والذي دمر أوروبا في النهاية هو القومية .”
5	“How strange is the lot of us mortals! Each of us is here for a brief sojourn; for what purpose he knows not, though he senses it. But without deeper reflection one knows from daily life that one exists for other people.”
5	“Don't think about why you question, simply don't stop questioning. Don't worry about what you can't answer, and don't try to explain what you can't know. Curiosity is its own reason. Aren't you in awe when you contemplate the mysteries of eternity, of life, of the marvelous structure behind reality? And this is the miracle of the human mind--to use its constructions, concepts, and formulas as tools to explain what man sees, feels and touches. Try to comprehend a little more each day. Have holy curiosity.”
5	“You'r Imagination Is Your Preview Of Lifes Coming Attractions. -Albert Einstien”
5	“As long as armies exist, any serious quarrel will lead to war.”
5	“It was my good fortune to be linked with Mme. Curie through twenty years of sublime and unclouded friendship. I came to admire her human grandeur to an ever growing degree. Her strength, her purity of will, her austerity toward herself, her objectivity, her incorruptible judgement— all these were of a kind seldom found joined in a single individual... The greatest scientific deed of her life—proving the existence of radioactive elements and isolating them—owes its accomplishment not merely to bold intuition but to a devotion and tenacity in execution under the most extreme hardships imaginable, such as the history of experimental science has not often witnessed.”
5	“I am thankful to all those who said NO to me. It's because of them, I did it myself”
5	“I believe that better times are coming.”
5	“I fear the day that technology will surpass our human interaction. The world will have a generation of idiots.”
4	“ني أومن بإله سبينوزا الذي نراه ممثلاً في التناسق بين كل الكائنات ، لا في إله يشغل نفسه بمصير الناس وأعمالهم”
4	“أقوم بتذكير نفسي 100 مرة كل يوم بأن حياتي معتمدة على عمل أناس آخرين أحياء و أموات، و أنني يجب أن أبذل كل جهدي لكي يمكنني أن أعطي بنفس القدر الذي أخذت به و مازلت آخذ”
4	“Nella vita quotidiana sono il classico solitario, ma la consapevolezza di appartenere alla comunità invisibile di quelli che lottano per la verità, per la bellezza e per la giustizia mi ha risparmiato ogni sensazione di isolamento”
4	“Have the courage to take your own thoughtsseriously, for they will shape you.”
4	“To know the secrets of Life, we must first become aware of their existence.”
4	“As the circle of light increases, so does its circumference of darkness.”
4	“The world is in greater peril from those who tolerate or encourage evil than from those who actually commit it.”
4	“There is no great discoveries and advances, as long as there is an unhappy child on earth. / Ne možemo govoriti o napretku čovječanstva, dok na svijetu ima nesretne djece.”
4	“When I was a fairly precocious young man I became thoroughly impressed with the futility of the hopes and strivings that chase most men restlessly through life. Moreover, I soon discovered the cruelty of that chase, which in those years was much more carefully covered up by hypocrisy and glittering words than is the case today. By the mere existence of his stomach everyone was condemned to participate in that chase. The stomach might well be satisfied by such participation, but not man insofar as he is a thinking and feeling being.”
4	“Intellect has powerful muscles, but no personality.”
4	“If I were not a physicist, I would probably be a musician. I often think in music. I live my daydreams in music. I see my life in terms of music ... I cannot tell if I would have done any creative work of importance in music, but I do know that I get most joy in life out of my violin.”
4	“Phantasie ist wichtiger als Wissen, denn Wissen ist begrenzt.”
4	“Todos somos ignorantes, lo que sucede es que no todos ignoramos lo mismo”
4	“Kalau mereka ingin menemuiku, aku ada disini. Kalau mereka ingin bertemu dengan pakaianku, bukalah lemariku dan tunjukkan pada mereka.”
4	“Tidak ada eksperimen yang bisa membuktikn aku benar, namun sebaliknya sebuah eksperimen saja bisa membuktikan aku salah.”
4	“Dunia ini adalah sebuah tempat yang berbahaya untuk didiami, bukan karena orang-orangnya jahat, tapi karena orang-orangnya tak perduli.”
4	“Belajarlah dari masa lalu, hiduplah untuk masa depan. Yang terpenting adalah tidak berhenti bertanya.”
4	“Not everything that can be counted counts, and not everything that counts can be counted.”
4	“Professor Smith has kindly submitted his book to me before publication. After reading it thoroughly and with intense interest I am glad to comply with his request to give him my impression.The work is a broadly conceived attempt to portray man's fear-induced animistic and mythic ideas with all their far-flung transformations and interrelations. It relates the impact of these phantasmagorias on human destiny and the causal relationships by which they have become crystallized into organized religion.This is a biologist speaking, whose scientific training has disciplined him in a grim objectivity rarely found in the pure historian. This objectivity has not, however, hindered him from emphasizing the boundless suffering which, in its end results, this mythic thought has brought upon man.Professor Smith envisages as a redeeming force, training in objective observation of all that is available for immediate perception and in the interpretation of facts without preconceived ideas. In his view, only if every individual strives for truth can humanity attain a happier future; the atavisms in each of us that stand in the way of a friendlier destiny can only thus be rendered ineffective.His historical picture closes with the end of the nineteenth century, and with good reason. By that time it seemed that the influence of these mythic, authoritatively anchored forces which can be denoted as religious, had been reduced to a tolerable level in spite of all the persisting inertia and hypocrisy.Even then, a new branch of mythic thought had already grown strong, one not religious in nature but no less perilous to mankind -- exaggerated nationalism. Half a century has shown that this new adversary is so strong that it places in question man's very survival. It is too early for the present-day historian to write about this problem, but it is to be hoped that one will survive who can undertake the task at a later date.”
4	“I am by heritage a Jew, by citizenship a Swiss, and by makeup a human being, and only a human being, without any special attachment to any state or national entity whatsoever.”
4	“The mystical trend of our time, which shows itself particularly in the rampant growth of the so-called Theosophy and Spiritualism, is for me no more than a symptom of weakness and confusion. Since our inner experiences consist of reproductions, and combinations of sensory impressions, the concept of a soul without a body seem to me to be empty and devoid of meaning. - Albert Einstein, letter of February 5, 1921”
4	“Isn't it strange that I who have written only unpopular books should be such a popular fellow?”
4	“Si buscas resultados distintos, no hagas siempre lo mismo.”
4	“Dunia ini berbahaya untuk dijadikan tempat tinggal. Bukan karena orang yang berbuat jahat, melainkan karena orang yang duduk dan membiarkannya terjadi”
4	“La teoria è quando si sa tutto e niente funziona. La pratica è quando tutto funziona e nessuno sa il perché. Noi abbiamo messo insieme la teoria e la pratica: non c'è niente che funzioni... e nessuno sa il perché!”
4	“لم أنتم بكلّ جوارحي في أي يوم إلى وطن أو دولة أو دائرة من الاصدقاء أو حتى أسرتي،ولم أكترث يوماً بالممتلكات والنجاح والشهرة والرّفاه. فجميع هذه الطموحات كانت محتقرة في نظري. إنّ بساطة العيش وعفوية المسلك في اعتقادي هما ما يتلاءم مع العقل والجسد.”
4	“For a scientist, altering your doctrines when the facts change is not a sign of weakness.”
4	“We cannot despair of humanity, since we ourselves are human beings.”
4	“The cult of individuals is always, in my view, unjustified. To be sure, nature distributes her gifts unevenly among her children. But there are plenty of the well-endowed, thank God, and I am firmly convinced that most of them live quiet, unobtrusive lives. It strikes me as unfair, and even in bad taste, to select a few of them for boundless admiration, attributing superhuman powers of mind and character to them. This has been my fate, and the contrast between the popular estimate of my powers and achievements and the reality is simply grotesque.”
4	“Those who have the privilege to know have the duty to act”
4	“I often think in music. I live my daydreams in music.”
4	“You make experiments and I make theories. Do you know the difference? A theory is something nobody believes, except the person who made it. An experiment is something everybody believes, except the person who made it.{Remark to scientist Herman Francis Mark}”
4	“إنّ امريكا بلاد تحكمها النساء، والناس فيها يعيشون الضجر في درجاته القصوى ولهذا تراهم في حال من الاثارة كلما طالعوا شيئاً يثير فيهم الحماس .”
4	“Love is the answer”
4	“There are only two ways to live your life. One is as though nothing is a miracle. The other is as if everything is.”
4	“The education of the individual, in addition to promoting his own innate abilities, would attempt to develop in him a sense of responsibility for his fellow men in place of the glorification of power and success in our present society.”
4	“Try not to become a man of success, but rather try to become a man of value.”
3	“أنا معجب بإله اسبينوزا، والذي بكشف عن نفسه بالتألف المرتب لكل الموجودات، وليس بالإله الذي يشغل نفسه بمصير البشر ”
3	“If you always do what you always did, you will always get what you always got.”
3	“with every action theres an equal opposite reaction,with every problem theres a solution just a matter of taking action”
3	“Svako je genijalac. Međutim ako prosuđuješ ribu na osnovu njene sposobnosti da se penje uz drvo ona će ceo život provesti u ubeđenju da je glupa.”
3	“Een probleem is onoplosbaar binnen de context van het probleem.”
3	“The value of an education in a liberal arts college is not the learning of many facts, but the training of the mind to think something that cannot be learned from textbooks.”
3	“Sólo hay dos cosas infinitas: el universo y la estupidez del hombre.”
3	“The release of atomic energy has not created a new problem. It has merely made more urgent the necessity of solving an existing one.”
3	“إنّ الانسان الذي يجد متعة في المشي ضمن تشكيلة عسكرية وعلى ايقاع فرقة موسيقية هو إنسان حظي بهبة العقل بطريق الخطأ ، فكل ما يحتاج إليه هو عمود فقريّ وهو محتقر في نظري .”
3	“For rebelling against every form of authority fate has punished me by making me an authority.”
3	“Нищо няма да допринесе за човешкото здраве и да повиши шансовете за оцеляване живота на земята толкова, колкото еволюцията на вегетарианското хранене.”
3	“Schopenhauer’s saying, that “a man can do as he will, but not will as he will,” has been an inspiration to me since my”
3	“إذا أطلقت حكمك على سمكة من خلال قدرتها على تسلق شجرة، فإنها ستعيش حياتها كاملة تظن بأنها فاشلة”
3	“The framing of a problem is often far more essential than its solution”
3	“For any one who is pervaded with the sense of causal law in all that happens, who accepts in real earnest the assumption of causality, the idea of a Being who interferes with the sequence of events in the world is absolutely impossible. Neither the religion of fear nor the social-moral religion can have any hold on him.”
3	“Hakikatku adalah yang aku pikirkan, bukan apa yang aku rasakan”
3	“Locura es hacer la misma cosa una y otra vez esperando obtener diferentes resultados”
3	“Kebanyakan orang mengatakan bahwa kecerdasanlah yang melahirkan seorang ilmuwan besar. Mereka salah, karakterlah yang melahirkannya.”
3	“God always takes the simplest way.”
3	“The more cruel the wrong that men commit against an individual or a people, the deeper their hatred and contempt for their victim. Conceit and false pride on the part of a nation prevent the rise of remorse for its crime.”
3	“Félek attól a naptól amikor a technológia fontosabb lesz,mint a személyes kapcsolattartás.A világon lesz egy generációnyi idióta.”
3	“I am satisfied with the mystery of the eternity of life and with the awareness and a glimpse of the marvelous structure of the existing world, together with the devoted striving to comprehend a portion, be it ever so tiny, of the Reason that manifests itself in nature.”
3	“Learn from yesterday, live for today, hope for tomorrow.”
3	“Let every man judge according to his own standards, by what he has himself read, not by what others tell him.”
3	“أجمل الأشياء التي يمكن أن نختارها هي معايشة غوامض التكوين...ومن لا يعرف هذا الانخطاف بجمال الكون ومن لا يأخذه الاعجاب ولا يستيقظ فيه السؤال هو شمعة منطفئة، إنه كالميّت سواء بسواء .”
3	“It is the theory which decides what can be observed”
3	“إنّ الايمان بالسلطة هو أعدى أعداء الحقيقة .”
3	“How vile and despicable war seems to me! I would rather be hacked to pieces than take part in such an abominable business.”
3	“إن المعرفة العقلانية هي طريق التقدم الروحي، وهي ما يحرر الانسان من الخوف من الحياة، ومن الخوف من الموت، ومن الايمان الاعمى. إنّ الكاهن يجب أن يصبح معلماً إذا أراد أن يكون وفيا لرسالته التربوية .”
3	“إنّ علما بدون دين هو علم أعرج ، ودين بدون علم هو دين اعمى .”
3	“Per perdere la testa, bisogna averne una...”
3	“إذا لم تلائم الحقائق النظرية، فلتغيّر الحقائق”
3	“In the temple of science are many mansions, and various indeed are they that dwell therein and the motives that have led them thither. Many take to science out of a joyful sense of superior intellectual power; science is their own special sport to which they look for vivid experience and the satisfaction of ambition; many others are to be found in the temple who have offered the products of their brains on this altar for purely utilitarian purposes. Were [someone to] drive all the people belonging to these two categories out of the temple, the assemblage would be seriously depleted, but there would still be some men, of both present and past times, left inside. Our Planck is one of them, and that is why we love him.”
3	“Nobody knows how the stand of our knowledge about the atom would be without him. Personally, Bohr is one of the amiable colleagues I have met. He utters his opinions like one perpetually groping and never like one who believes himself to be in possession of the truth.”
3	“Imagination is intelligence having fun.”
3	“La Creatividad es la Inteligencia divirtiéndose”
3	“We shall require a substantially new manner of thinking if mankind is to survive.”
3	“ماهي القوى العظمى في هذا العالم؟ إنها مضاعفة إهتماماتك”
3	“I have deep faith that the principle of the universe will be beautiful and simple.”
3	“This topic brings me to that worst outcrop of herd life, the military system, which I abhor. That a man can take pleasure in marching in fours to the strains of a band is enough to make me despise him. He has only been given his big brain by mistake; unprotected spinal marrow was all he needed. This plague-spot of civilization ought to be abolished with all possible speed. Heroism on command, senseless violence, and all the loathsome nonsense that goes by the name of patriotism—how passionately I hate them! How vile and despicable seems war to me! I would rather be hacked in pieces than take part in such an abominable business. My opinion of the human race is high enough that I believe this bogey would have disappeared long ago, had the sound sense of the peoples not been systematically corrupted by commercial and political interests acting through the schools and the Press.”
3	“What a deep [trust] in the rationality of the structure of the world and what a longing to understand even a small glimpse of the reason revealed in the world there must have been in Kepler and Newton to enable them to unravel the mechanism of the heavens in long years of lonely work!”
3	“Berusahalah untuk tidak menjadi manusia yang berhasil tapi berusahalah menjadi manusia yang berguna”
3	“إن الالمان وأقصد الأمة بأجمعها، مسؤلون عن هذا لجرائم الجماعية ويجب أن يعاقبوا كأمة إذا كان هناك أي نوعمن العدالة في هذا العالم .ولا يجب أن يخدع أحد نفسهمرة ثانية عندما يتباكون على مصيرهم بعد الهزيمة كما فعلوا بعد الحرب العالمية الأولى، بل يجب أن نتذكر أنهم استغلوا متعمدين إنسانية الآخرين لكي يعدوا العدة لآخر أبشع جرائمهم ضدّ البشريّة.”
3	“In two weeks the sheeplike masses of any country can be worked up by the newspapers into such a state of excited fury that men are prepared to put on uniforms and kill and be killed, for the sake of the sordid ends of a few interested parties.”
3	“إنّ الأرواح العظيمة كانت تلقى مقاومة عنيفة على الدوام من ذوي العقول القاصرة. فمثل هذه العقول تبقى عاجزة عن فهم الرجل الذي يرفض أن ينحني دون مساءلة للانحيازات الشائعة ويختار بدلا عن ذلك التعبير عن آرائه بشجاعة وشرف .”
3	“إن الله الذي أعطى فلسطين لليهود هو الذي أسكن الفلسطينيين فيها، وكل فريق يرى أن الله معيناً .. فلنترك الله خارج المحاججة .”
3	“Everything is energy and that's all there is. Match the frequency of the reality you want and you cannot help but get that reality. It can be no other way. This is not philosophy. This is physics.”
3	“Communities tend to be guided less than individuals by conscience and a sense of responsibility. How much misery does this fact cause mankind! It is the source of wars and every kind of oppression, which fill the earth with pain, sighs and bitterness.”
2	“When you change the way you look at things, the things you look at change.”
2	“Common to all these types is the anthropomorphic character of their conception of God. In general, only individuals of exceptional endowments, and exceptionally high-minded communities, rise to any considerable extent above this level. But there is a third stage of religious experience which belongs to all of them, even though it is rarely found in a pure form: I shall call it cosmic religious feeling. It is very difficult to elucidate this feeling to anyone who is entirely without it, especially as there is no anthropomorphic conception of God corresponding to it. The individual feels the futility of human desires and aims and the sublimity and marvelous order which reveal themselves both in nature and in the world of thought. Individual existence impresses him as a sort of prison and he wants to experience the universe as a single significant whole. The beginnings of cosmic religious feeling already appear at an early stage of development, e.g., in many of the Psalms of David and in some of the Prophets. Buddhism, as we have learned especially from the wonderful writings of Schopenhauer, contains a much stronger element of this.”
2	“The state exists for man,not man for the state.The same may be said ofscience. These are old phrases,coined by people who saw in human individuality the highest human value .I would hesitate to repeat them,were it not for the ever recurring danger that they may be forgotten,especially in these days of organization and stereotypes.”
2	“Понякога трябва, докато оцветяваш, да излизаш извън очертанията,ако искаш да превърнеш живота си в шедьовър.”
2	“Let every man be respected as an individual and no man idolized.”
2	“Education is not the learning of facts, but the training of the mind to think.”
2	“Still there are moments when one feels free from one’s own identification with human limitations and inadequacies. At such moments, one imagines that one stands on some spot of a small planet, gazing in amazement at the cold yet profoundly moving beauty of the eternal, the unfathomable: life and death flow into one, and there is neither evolution nor destiny; only being.”
2	“El nacionalismo es una enfermedad infantil. Es el sarampion de la humanidad.”
2	“إنّ الحرب العالمية الأولى أفقدت الحياة قداستها، ودلّت على سفالة الأجهزة السياسية .”
2	“إنّ الخدمة العسكرية الإلزامية هي ظاهرة شائنة يتمظهر فيها افتقار الإنسان إلى الكرامة الشخصية .”
2	“Който обича да марширува, напразно има мозък в главата — гръбначният би бил достатъчен.”
2	“Човек започва да живее тогава, когато може да живее извън себе си.”
2	“I have not eaten enough of the tree of knowledge, though in my profession I am obligated to feed on it regularly.”
2	“Nothing truly valuable can be achieved except by the unselfish cooperation of many individuals.”
2	“The development of science and of the creative activities of the spirit requires a freedom that consists in the independence of thought from the restrictions of authoritarian and social prejudice.”
2	“The woman who fallows the crowd will usually go no further then the crowd. The woman who walks alone is likely to find herself in a places no one has ever been before”
2	“The greatest scientists are artists as well.”
2	"“Not everything that counts can be counted, and not everything that can be counted counts."" ~(Albert Einstein)”"
2	“Never give up on what you really want to do. The person with big dreams is more powerful than one with all the facts.”
2	“You have to learn the rules of the game. And then you have to play better than anyone else”
2	“Единствената причина да съществува времето е за да може нещата да не се случват наведнъж.”
2	“Ognuno è un genio. Ma se si giudica un pesce dalla sua abilità di arrampicarsi sugli alberi lui passerà tutta la sua vita a credersi stupido.”
2	“Um ein tadelloses Mitglied einer Schafherde sein zu können, muß man vor allem ein Schaf sein.”
2	“De werkelijkheid is louter illusie, maar wel een hardnekkige.”
2	“Die Welt wird nicht bedroht von den Menschen, die böse sind, sondern von denen, die das Böse zulassen.”
2	“Tidak ada yang lebih merusak martabat pemerintah dan hukum negeri dibanding meloloskan undang-undang yang tidak bisa ditegakkan.”
2	“Barangsiapa yang tidak pernah melakukan kesalahan,maka dia tidak pernah mencoba sesuatu yang baru”
2	“Hal yang paling sukar dipahami di dunia ini adalah pajak penghasilan.”
2	“la gravedad no es culpable que la gente se enamore”
2	“أن نتخلى عن الكفاح من أجل السعادة الخاصة، أن نطرد التلهف على الرغبة المؤقتة، أن نتوقد بنار الوجد للأشياء الخالدة، هذا هو الانعتاق وهذه هي عبادة الرجل الحرّ .”
2	“Hay una fuerza motriz más poderosa que el vapor, la electricidad y la energía atómica. Esa fuerza es la voluntad”
2	“Come si può mettere la Nona di Beethoven in un diagramma cartesiano? Ci sono delle realtà che non sono quantificabili. L'universo non è i miei numeri: è pervaso tutto dal mistero. Chi non ha il senso del mistero è un uomo mezzo morto.”
2	“Sometimes one pays most for the things one gets for nothing.”
2	“Development of Western science is based on two great achievements: the invention of the formal logical system (in Euclidean geometry) by the Greek philosophers, and the discovery of the possibility to find out causal relationships by systematic experiment (during the Renaissance). In my opinion, one has not to be astonished that the Chinese sages have not made these steps. The astonishing thing is that these discoveries were made at all.”
2	“Make things as simple as possible, but no simpler.”
2	“In the judgment of the most competent living mathematicians, Fraulein Noether was the most significant mathematical genius thus far produced since the higher education of women began.”
2	“Science has therefore been charged with undermining morality, but the charge is unjust. A man’s ethical behavior should be based effectually on sympathy, education, and social ties and needs; no religious basis is necessary. Man would indeed be in a poor way if he had to be restrained by fear of punishment and hope of reward after death.”
2	“Bir insanın marş eşliğinde uygun adım yürümekten keyif alabilmesi, onu küçümsemem için yeterli bir nedendir. O büyük beyni, ona bir yanlışlık sonucu verilmiştir.”
2	“Značajni problemi s kojima se suočavamo ne mogu biti riješeni na nivou razmišljanja koje je probleme kreiralo.”
2	“כלום לא יקרה עד שמשהו יזוז”
2	“MY DEAR CHILDREN: I rejoice to see you before me today, happy youth of a sunny and fortunate land. Bear in mind that the wonderful things you learn in your schools are the work of many generations, produced by enthusiastic effort and infinite labor in every country of the world. All this is put into your hands as your inheritance in order that you may receive it, honor it, add to it, and one day faithfully hand it on to your children. Thus do we mortals achieve immortality in the permanent things which we create in common. If you always keep that in mind you will find a meaning in life and work and acquire the right attitude toward other nations and ages.”
2	“Keep on sowing your seed, for you never know which will grow - perhaps it all will.”
2	“One scientific epoch ended and another began with James Clerk Maxwell.”
2	“知音少弦断有谁听”
2	“Some recent work by E. Fermi and L. Szilárd, which has been communicated to me in manuscript, leads me to expect that the element uranium may be turned into a new and important source of energy in the immediate future. Certain aspects of the situation seem to call for watchfulness and, if necessary, quick action on the part of the Administration. ...This new phenomenon would also lead to the construction of bombs, and it is conceivable—though much less certain—that extremely powerful bombs of a new type may thus be constructed. A single bomb of this type, carried by boat or exploded in a port, might well destroy the whole port altogether with some of the surrounding territory. However, such bombs might well prove to be too heavy for transportation by air.”
2	“The best that Gauss has given us was likewise an exclusive production. If he had not created his geometry of surfaces, which served Riemann as a basis, it is scarcely conceivable that anyone else would have discovered it. I do not hesitate to confess that to a certain extent a similar pleasure may be found by absorbing ourselves in questions of pure geometry.”
2	“The importance of C.F. Gauss for the development of modern physical theory and especially for the mathematical fundament of the theory of relativity is overwhelming indeed; also his achievement of the system of absolute measurement in the field of electromagnetism. In my opinion it is impossible to achieve a coherent objective picture of the world on the basis of concepts which are taken more or less from inner psychological experience.”
2	“Albert Einstein believes in humanity, in a peaceful world of mutual helpfulness, and in the high mission of science.”
2	“The longing to behold this pre-established harmony [of phenomena and theoretical principles] is the source of the inexhaustible patience and perseverance with which Planck has devoted himself ... The state of mind which enables a man to do work of this kind is akin to that of the religious worshiper or the lover; the daily effort comes from no deliberate intention or program, but straight from the heart.”
2	“The development from a religion of fear to moral religion is a great step in peoples' lives.”
2	“The tendencies we have mentioned are something new for America. They arose when, under the influence of the two World Wars and the consequent concentration of all forces on a military goal, a predominantly military mentality developed, which with the almost sudden victory became even more accentuated. The characteristic feature of this mentality is that people place the importance of what Bertrand Russell so tellingly terms “naked power” far above all other factors which affect the relations between peoples. The Germans, misled by Bismarck’s successes in particular, underwent just such a transformation of their mentality—in consequence of which they were entirely ruined in less than a hundred years. I must frankly confess that the foreign policy of the United States since the termination of hostilities has reminded me, sometimes irresistibly, of the attitude of Germany under Kaiser Wilhelm II, and I know that, independent of me, this analogy has most painfully occurred to others as well. It is characteristic of the military mentality that non-human factors (atom bombs, strategic bases, weapons of all sorts, the possession of raw materials, etc.) are held essential, while the human being, his desires and thoughts—in short, the psychological factors—are considered as unimportant and secondary. Herein lies a certain resemblance to Marxism, at least insofar as its theoretical side alone is kept in view. The individual is degraded to a mere instrument; he becomes “human materiel.” The normal ends of human aspiration vanish with such a viewpoint. Instead, the military mentality raises “naked power” as a goal in itself—one of the strangest illusions to which men can succumb.”
2	“This change in the conception of reality is the most profound and the most fruitful that physics has experienced since the time of Newton.{Referring to James Clerk Maxwell's contributions to physics}”
2	“Of what is significant in one's own existence one is hardly aware, and it certainly should not bother the other fellow. What does a fish know about the water in which he swims all his life?”
2	“If this conviction had not been a strongly emotional one and if those searching for knowledge had not been inspired by Spinoza's Amor Dei Intellectualis, they would hardly have been capable of that untiring devotion which alone enables man to attain his greatest achievements.”
2	“Ne pokušavam zamisliti nekog osobnog Boga; dovoljno je stajati sastrahopoštovanjem pred ustrojstvom svijeta i iskusiti ga onoliko kolikosu to naša nedostatna osjetila u stanju.”
2	“La imaginación es más importante que el conocimiento. El conocimiento es limitado, la imaginación rodea el mundo”.”
2	“Learn to behappy through the good fortunes and joys of your friends and not through senseless quarrels. If you allow these natural feelings to blossom within you, your every burden will seem lighter or more bearable to you, you will find your own way through patience, and you will spread joy everywhere.”
2	“I love to travel, but hate to arrive”
2	“إن قوة أمريكا العسكرية المتفوقة تلقي على عاتقها مسؤولية أن تكون الأمة المتفوقة أخلاقياً .”
2	“Wenn man zwei Stunden lang mit einem Mädchen zusammensitzt, meint man, es wäre eine Minute. Sitzt man jedoch eine Minute auf einem heißen Ofen, meint man, es wären zwei Stunden. Das ist Relativität.”
2	“It is clear that all the valuable things, material, spiritual, and moral, which we receive from society can be traced back through countless generations to certain creative individuals. The use of fire, the cultivation of edible plants, the steam engine—each was discovered by one man.”
2	“المهم في العلم هو الفهم لا التقانة .”
2	“When I am judging a theory, I ask myself whether, if I were God, I would have arranged the world in such a way.”
2	“إن امتلاكنا لوسائل الانتاج المدهشة ولّد الحاجة والمجاعة لا الحريّة.”
1	“A hundred times every day I remind myself that my inner and outer life depend on the labours of other men, living and dead, and that I must exert myself in order to give in the same measure as I have received and am still receiving.”
1	“But science can only be created by those who are thoroughly imbued with the aspiration toward truth and understanding. This source of feeling, however, springs from the sphere of religion. To this there also belongs the faith in the possibility that the regulations valid for the world of existence are rational, that is, comprehensible to reason. I cannot conceive of a genuine scientist without that profound faith. The situation may be expressed by an image: science without religion is lame, religion without science is blind.”
1	“ours is the first era in which it has been possible for people of differentnations to conduct their affairs in a friendly and understanding manner. In the old days, peoples spent their lives fearing and even hating one another because of ignorance on all sides.”
1	“Un uomo felice è troppo soddisfatto del presente per pensare molto al futuro”
1	“Non mi preoccupo mai del futuro, arriva sempre abbastanza presto”
1	“Non ho particolari talenti, sono soltanto appassionatamente curioso”
1	“The most beautiful experience we can have is the mysterious. It is the fundamental emotion which stands at the cradle of true art and true science. Whoever does not know it can no longer wonder, no longer marvel, is as good as dead, and his eyes are dimmed.”
1	“L'insegnamento che viene elargito dovrebbe essere percepito come un regalo prezioso e non come un dovere imposto”
1	“Je méprise un homme qui peut être satisfait par une moelle épinière, cet homme ne mérite pas un cerveau humain.”
1	“The economic anarchy of capitalist society as it exists today is, in my opinion, the real source of the evil.”
1	“La scoperta dell'energia atomica non ha creato un nuovo problema, ha solo reso più urgente la necessità di risolverne uno già esistente”
1	“Dal mio punto di vista, uccidere in guerra non è affatto meglio che commettere un banale assassinio”
1	“Non sono un semplice pacifista, sono un pacifista militante. Sono disposto a combattere per la pace... Non è meglio per un uomo morire per una causa in cui crede, come la pace, che soffrire per una causa in cui non crede, come la guerra?”
1	“Qual è il significato della vita umana, e, più in generale, della vita di ogni creatura? Essere religiosi significa avere la risposta a questo interrogativo. Voi chiedete: è giusto porsi questa domanda? E io vi rispondo: chi non attribuisce un significato alla propria vita e a quella delle altre creature è non solo infelice, ma anche poco dotato per la vita”
